English,Spanish,French,German,Chinese,Japanese
add fuel to the fire,echar leña al fuego,jeter de l’huile sur le feu,Öl ins Feuer gießen,火上浇油,火に油を注ぐ
back to square one,volver al punto de partida,retour à la case départ,zurück auf Anfang,回到原点,振り出しに戻る
beat around the bush,andarse por las ramas,tourner autour du pot,um den heißen Brei reden,拐弯抹角,遠回しに言う
better late than never,más vale tarde que nunca,mieux vaut tard que jamais,besser spät als nie,迟到总比不到好,遅くてもやらないよりはまし
bite off more than you can chew,abarcar más de lo que puedes,mordre plus qu’on ne peut mâcher,sich zu viel vornehmen,贪多嚼不烂,手に負えないことを引き受ける
by the book,según las reglas,selon les règles,nach Vorschrift,按规矩,規則通りに
calm before the storm,calma antes de la tormenta,calme avant la tempête,die Ruhe vor dem Sturm,暴风雨前的平静,嵐の前の静けさ
cry over spilled milk,llorar sobre la leche derramada,pleurer sur le lait renversé,über verschüttete Milch weinen,覆水难收,覆水盆に返らず
curiosity killed the cat,la curiosidad mató al gato,la curiosité tue le chat,Neugier ist der Katze Tod,好奇害死猫,好奇心は猫を殺す
cut to the chase,ir al grano,aller droit au but,auf den Punkt kommen,直奔主题,要点を言う
easy does it,despacio y con calma,doucement,immer mit der Ruhe,慢慢来,ゆっくりやる
every cloud has a silver lining,no hay mal que por bien no venga,à quelque chose malheur est bon,jedes Unglück hat sein Gutes,否极泰来,悪いことにも良い面がある
face the music,afrontar las consecuencias,faire face aux conséquences,die Konsequenzen tragen,承担后果,責任を負う
fall through the cracks,quedarse en el olvido,passer entre les mailles du filet,durchs Raster fallen,被忽视,見落とされる
feel under the weather,sentirse mal,ne pas se sentir bien,sich krank fühlen,感觉不舒服,体調が悪い
get cold feet,echarse atrás,avoir la frousse,kalte Füße bekommen,临阵退缩,怖気づく
get your act together,ponte las pilas,ressaisis-toi,reiß dich zusammen,振作起来,しっかりしろ
give someone the cold shoulder,ignorar a alguien,faire la tête,jemanden die kalte Schulter zeigen,冷落别人,冷たくあしらう
go the extra mile,hacer un esfuerzo extra,faire un effort supplémentaire,die Extrameile gehen,额外努力,さらに努力する
hang in there,aguanta,tiens bon,halte durch,坚持住,頑張れ
